Sample:float,Data:float
"0.0","0.0"
"1.0","3.5999999046325684"
"2.0","7.199999809265137"
"3.0","10.799999237060547"
"4.0","14.399999618530273"
"5.0","18.0"
"6.0","21.600000381469727"
"7.0","25.200000762939453"
"8.0","28.80000114440918"
"9.0","32.400001525878906"
"10.0","36.0"
"11.0","39.599998474121094"
"12.0","43.19999694824219"
"13.0","46.79999542236328"
"14.0","50.399993896484375"
"15.0","53.99999237060547"
"16.0","57.59999084472656"
"17.0","61.199989318847656"
"18.0","64.79998779296875"
"19.0","68.39998626708984"
"20.0","71.99998474121094"
"21.0","75.59998321533203"
"22.0","79.19998168945312"
"23.0","82.79998016357422"
"24.0","86.39997863769531"
"25.0","89.9999771118164"
"26.0","93.5999755859375"
"27.0","97.1999740600586"
"28.0","100.79997253417969"
"29.0","104.39997100830078"
"30.0","107.99996948242188"
"31.0","111.59996795654297"
"32.0","115.19996643066406"
"33.0","118.79996490478516"
"34.0","122.39996337890625"
"35.0","125.99996185302734"
"36.0","129.59996032714844"
"37.0","133.19996643066406"
"38.0","136.7999725341797"
"39.0","140.3999786376953"
"40.0","143.99998474121094"
"41.0","147.59999084472656"
"42.0","151.1999969482422"
"43.0","154.8000030517578"
"44.0","158.40000915527344"
"45.0","162.00001525878906"
"46.0","165.6000213623047"
"47.0","169.2000274658203"
"48.0","172.80003356933594"
"49.0","176.40003967285156"
"50.0","180.0000457763672"
"51.0","183.6000518798828"
"52.0","187.20005798339844"
"53.0","190.80006408691406"
"54.0","194.4000701904297"
"55.0","198.0000762939453"
"56.0","201.60008239746094"
"57.0","205.20008850097656"
"58.0","208.8000946044922"
"59.0","212.4001007080078"
"60.0","216.00010681152344"
"61.0","219.60011291503906"
"62.0","223.2001190185547"
"63.0","226.8001251220703"
"64.0","230.40013122558594"
"65.0","234.00013732910156"
"66.0","237.6001434326172"
"67.0","241.2001495361328"
"68.0","244.80015563964844"
"69.0","248.40016174316406"
"70.0","252.0001678466797"
"71.0","255.6001739501953"
"72.0","259.2001647949219"
"73.0","262.8001708984375"
"74.0","266.4001770019531"
"75.0","270.00018310546875"
"76.0","273.6001892089844"
"77.0","277.2001953125"
"78.0","280.8002014160156"
"79.0","284.40020751953125"
"80.0","288.0002136230469"
"81.0","291.6002197265625"
"82.0","295.2002258300781"
"83.0","298.80023193359375"
"84.0","302.4002380371094"
"85.0","306.000244140625"
"86.0","309.6002502441406"
"87.0","313.20025634765625"
"88.0","316.8002624511719"
"89.0","320.4002685546875"
"90.0","324.0002746582031"
"91.0","327.60028076171875"
"92.0","331.2002868652344"
"93.0","334.80029296875"
"94.0","338.4002990722656"
"95.0","342.00030517578125"
"96.0","345.6003112792969"
"97.0","349.2003173828125"
"98.0","352.8003234863281"
"99.0","356.40032958984375"
"100.0","360.0003356933594"
